feature_id	location	type	function	aliases	protein_md5
fig|1584.211.peg.46	LD_615_Assembly_contig_1_33916+447	CDS	Flavodoxin		28aef4fcf0c03450668cc548aa869675
fig|1584.211.peg.47	LD_615_Assembly_contig_1_34355+513	CDS	Teichoic acid glycosylation protein		26adf64d372cb7d3f23c78e234d9340b
fig|1584.211.peg.48	LD_615_Assembly_contig_1_36199-1299	CDS	UDP-N-acetylglucosamine 2-epimerase (EC 5.1.3.14)		b7973666078e9c9e4d124c25ac08b1b7
fig|1584.211.peg.49	LD_615_Assembly_contig_1_37947-903	CDS	Phage lysin, 1,4-beta-N-acetylmuramidase (EC 3.2.1.17) or lysozyme		a406ad8d5de192e49b39c20d59de46bc
fig|1584.211.peg.50	LD_615_Assembly_contig_1_38390-432	CDS	Phage holin		1269a114c8872df4c215d05fe15f4d12
fig|1584.211.peg.51	LD_615_Assembly_contig_1_38665-279	CDS	Phage protein		2c963ab1cced2d6b6a0ddc50559b0d6d
fig|1584.211.peg.52	LD_615_Assembly_contig_1_39095-420	CDS	hypothetical protein		c1148dc0cc1134204f46d572a2c4f03b
fig|1584.211.peg.53	LD_615_Assembly_contig_1_39764-519	CDS	Phage protein		4c7e002ef932c6091464c942c0e29aae
fig|1584.211.peg.54	LD_615_Assembly_contig_1_41972-2169	CDS	Phage protein		f2e9f02f1a5d34cc1ab92117acc392e6
fig|1584.211.peg.55	LD_615_Assembly_contig_1_42515-531	CDS	Phage protein (ACLAME 324)		837985df1aa0c6f3232973b10ede8243
fig|1584.211.peg.56	LD_615_Assembly_contig_1_43686-1152	CDS	Phage baseplate protein (ACLAME 37)		10dbbf8aa15d2abef418aebde08b6a9b
fig|1584.211.peg.57	LD_615_Assembly_contig_1_44054-372	CDS	Phage protein (ACLAME 308)		022b0982b5f4dcd75b6d11a358711501
fig|1584.211.peg.58	LD_615_Assembly_contig_1_44418-363	CDS	Putative phage PBSX protein xkdR (ACLAME 665)		de5830aa4f4e2b128491f15b780b0c95
fig|1584.211.peg.59	LD_615_Assembly_contig_1_45443-1047	CDS	Phage endolysin or lysozyme (ACLAME 32)		a6d5c7f3f797654cdb9483ec9752bcd7
fig|1584.211.peg.60	LD_615_Assembly_contig_1_46120-681	CDS	Phage PBSX protein xdkP (ACLAME 267)		a8f84c928b2805484e93637efa60e45f
fig|1584.211.peg.61	LD_615_Assembly_contig_1_49535-3414	CDS	hypothetical protein		848a9e62fe6ac1f6ab540511d0cdfb16
fig|1584.211.peg.62	LD_615_Assembly_contig_1_50191-420	CDS	hypothetical protein		163f7bda75af6bd64a1445385793f0cc
fig|1584.211.peg.63	LD_615_Assembly_contig_1_50673-471	CDS	Phage tail fiber protein		51ad32f4f3837ce5adc103416b2b2122
fig|1584.211.peg.64	LD_615_Assembly_contig_1_52040-1356	CDS	hypothetical protein		1434c4212aec571662dab4a0cbdfc54d
fig|1584.211.peg.65	LD_615_Assembly_contig_1_52222-183	CDS	Phage protein		e928661faec956625f7ae6e960baedec
fig|1584.211.peg.66	LD_615_Assembly_contig_1_52649-408	CDS	Phage protein (ACLAME 663)		d1033c7ca220c8af7e7356df6f628c7b
fig|1584.211.peg.67	LD_615_Assembly_contig_1_53080-435	CDS	Phage protein (ACLAME 743)		90e2c80ddb1edd88a9c43e9271bb695f
fig|1584.211.peg.68	LD_615_Assembly_contig_1_53439-363	CDS	Phage protein (ACLAME 1004)		d9e76145838c708b6455597a88a3b779
fig|1584.211.peg.69	LD_615_Assembly_contig_1_53825-390	CDS	Phage protein		1517b00ae3b13da4dd7714668f809b01
fig|1584.211.peg.70	LD_615_Assembly_contig_1_54889-1056	CDS	hypothetical protein		dfce88567286c2218dd975eff5cfac62
fig|1584.211.peg.71	LD_615_Assembly_contig_1_55448-555	CDS	Phage capsid and scaffold		ef74118f3e68c52018bc8688da00866c
fig|1584.211.peg.72	LD_615_Assembly_contig_1_56710-1143	CDS	Putative head protein (ACLAME 50)		aafd0343a2de52c03b8cf3f941596f59
fig|1584.211.peg.73	LD_615_Assembly_contig_1_58112-1413	CDS	Phage portal (connector) protein		f9bab571dd68e1da9a4a9c98005ed26f
fig|1584.211.peg.74	LD_615_Assembly_contig_1_59332-1230	CDS	Phage terminase, large subunit		c0260e28c75d22749149ddb44cf6a334
fig|1584.211.peg.75	LD_615_Assembly_contig_1_59838-504	CDS	Phage terminase, small subunit		8392373347ab692665856007ec80ee44
fig|1584.211.peg.76	LD_615_Assembly_contig_1_60504-612	CDS	Phage protein		43f11d0a1c8b2bdf5157c674ce951bad
fig|1584.211.rna.2	LD_615_Assembly_contig_1_60686-74	rna	tRNA-Phe-GAA		
fig|1584.211.peg.77	LD_615_Assembly_contig_1_61847-531	CDS	Phage protein (ACLAME 1225)		cdcfbb4a6d462a153d851b01cc96b341
fig|1584.211.peg.78	LD_615_Assembly_contig_1_62044-168	CDS	Phage protein		fc94d9935b7b1be6665b07e868170ac3
fig|1584.211.peg.79	LD_615_Assembly_contig_1_62249-219	CDS	Phage protein		bc9a402b27d372bbcc57dd6522f338e1
fig|1584.211.peg.80	LD_615_Assembly_contig_1_62533-288	CDS	Phage protein		52c2f383cd25e5f31fe2b7160427a932
fig|1584.211.peg.81	LD_615_Assembly_contig_1_62654-132	CDS	hypothetical protein		81e6fddf0f24fbb96dc0ae08bf3a7b76
fig|1584.211.peg.82	LD_615_Assembly_contig_1_63039-261	CDS	Phage protein		9e97919263121883469f75acd6751d4a
fig|1584.211.peg.83	LD_615_Assembly_contig_1_63501-462	CDS	Phage resolvase		367aab5d802a06a926ab626ce31e1c50
fig|1584.211.peg.84	LD_615_Assembly_contig_1_63659-162	CDS	hypothetical protein		03eff0c6b6fb7355ab3389e4daaf8c33
fig|1584.211.peg.85	LD_615_Assembly_contig_1_64085-357	CDS	Phage protein		ae92929e147170f598ed78ad64548e71
fig|1584.211.peg.86	LD_615_Assembly_contig_1_64538-282	CDS	hypothetical protein		e8e034e5a534558448f76402f0f0f6c9
fig|1584.211.peg.87	LD_615_Assembly_contig_1_64855-321	CDS	hypothetical protein		e981f26b5664f8a0ee1af5617f85b100
fig|1584.211.peg.88	LD_615_Assembly_contig_1_65096-249	CDS	hypothetical protein		4ae49a65b4e28da3011fbba752e55864
fig|1584.211.peg.89	LD_615_Assembly_contig_1_65324-210	CDS	Phage protein		b119e51af36a92dfca3178617f71117b
fig|1584.211.peg.90	LD_615_Assembly_contig_1_65519-186	CDS	Phage protein		69cc4f7b79f0faeac51a147fda44c820
fig|1584.211.peg.91	LD_615_Assembly_contig_1_66319-786	CDS	Phage antirepressor protein		84ca778e978df756005a951d9730b682
fig|1584.211.peg.92	LD_615_Assembly_contig_1_66521-210	CDS	Phage protein		2d48f79160448b1cfc2d8f4d1653495b
fig|1584.211.peg.93	LD_615_Assembly_contig_1_67401-801	CDS	DNA replication protein DnaC		5d549fac67258fc3c63cc6ba43e6558b
fig|1584.211.peg.94	LD_615_Assembly_contig_1_68184-771	CDS	hypothetical protein		89eac5c4cb2366b0e8c78c4776b77177
fig|1584.211.peg.95	LD_615_Assembly_contig_1_69036-828	CDS	Phage protein (ACLAME 250)		99a05c2658c0116010c32088ab6153b9
fig|1584.211.peg.96	LD_615_Assembly_contig_1_69320-279	CDS	Phage protein		8179f6b31c4995e7bb49e565c52422c3
fig|1584.211.peg.97	LD_615_Assembly_contig_1_69646-327	CDS	Phage protein		6e410e807662aec018b2ae8ea5e106bd
fig|1584.211.peg.98	LD_615_Assembly_contig_1_69843-153	CDS	Phage-associated recombinase		77a225ceb16391a04e026448f1a165dc
fig|1584.211.peg.99	LD_615_Assembly_contig_1_69970-114	CDS	hypothetical protein		355951841ef00d6b18e43b30a031faf1
fig|1584.211.peg.100	LD_615_Assembly_contig_1_70238-279	CDS	Phage protein		3ad758823d1487a45a0e3b7ab1a3adb1
fig|1584.211.peg.101	LD_615_Assembly_contig_1_70571-330	CDS	Phage protein		c8a608d5823c6a1ee81adc2e48291ad0
fig|1584.211.peg.102	LD_615_Assembly_contig_1_70790-207	CDS	hypothetical protein		46f7cfbae4fb14c36f3c28ea8f7c73f2
fig|1584.211.peg.103	LD_615_Assembly_contig_1_71041-225	CDS	Phage protein		c396f70537f624e58bfb797f4a3fbc7e
fig|1584.211.peg.104	LD_615_Assembly_contig_1_71205+357	CDS	hypothetical protein		e2e0b954df680716eed6cb53e21ef4c0
fig|1584.211.peg.105	LD_615_Assembly_contig_1_71567+453	CDS	Transcriptional regulator		092d78aea66855482a6cd81d817ebb60
fig|1584.211.peg.106	LD_615_Assembly_contig_1_72079+528	CDS	hypothetical protein		acee103e8c30359c5bad082666e75e5b
fig|1584.211.peg.107	LD_615_Assembly_contig_1_72679+138	CDS	FIG00745371: hypothetical protein		8fabafcda15f81786e09ad5c50026286
fig|1584.211.peg.108	LD_615_Assembly_contig_1_72819+1119	CDS	Phage integrase, site-specific tyrosine recombinase		b0ca1ce02eea0c270d4916e4bf87921e
fig|1584.211.rna.3	LD_615_Assembly_contig_1_74087-73	rna	tRNA-Arg-CCT		
fig|1584.211.peg.109	LD_615_Assembly_contig_1_75469-1332	CDS	PTS system, cellobiose-specific IIC component		0f3ba45b7305ec59f9cfab08c24184f0
fig|1584.211.peg.110	LD_615_Assembly_contig_1_76704-1236	CDS	ATP-dependent RNA helicase YfmL		5cd0909456d053e7fcdfd158939b48f6
fig|1584.211.peg.111	LD_615_Assembly_contig_1_77425-711	CDS	Lyzozyme M1 (1,4-beta-N-acetylmuramidase)		975fa5a8e05ff62ace58edf1aeb588a0
fig|1584.211.peg.112	LD_615_Assembly_contig_1_77545+1311	CDS	Serine/threonine exchanger SteT		9b944a6bcf8a170fd9ded26e0c52335e
fig|1584.211.peg.113	LD_615_Assembly_contig_1_79508-570	CDS	Hypoxanthine-guanine phosphoribosyltransferase (EC 2.4.2.8)		1cda8b117b0200c762d48ad501f22009
fig|1584.211.peg.114	LD_615_Assembly_contig_1_80986-1380	CDS	Hemolysins and related proteins containing CBS domains		64717383f0e425d28c8ede58276e8582
fig|1584.211.peg.115	LD_615_Assembly_contig_1_81735-699	CDS	hypothetical protein		5d406fa8038a9cf9e90c1ce0ac464dc5
fig|1584.211.peg.116	LD_615_Assembly_contig_1_82512-657	CDS	contains nitroreductase domain		b550a9ddf750db29a9f4c74d2507b632
fig|1584.211.peg.117	LD_615_Assembly_contig_1_85083-2406	CDS	Xylulose-5-phosphate phosphoketolase (EC 4.1.2.9) @ Fructose-6-phosphate phosphoketolase (EC 4.1.2.22)		3255d84d8f5076629a822d74b9d68e59
fig|1584.211.peg.118	LD_615_Assembly_contig_1_85974-780	CDS	contains bacterial regulatory deoR domain		0a9c1d2d3c3510edcbbc8161c81ccc96
fig|1584.211.peg.119	LD_615_Assembly_contig_1_86238+327	CDS	FIG00743083: hypothetical protein		64f1c784b37c538e0397e0b25c21e2a7
fig|1584.211.peg.120	LD_615_Assembly_contig_1_87357-729	CDS	Transcriptional regulator, GntR family		4c17eeadc23d73930cf508b01afeaaa9
fig|1584.211.peg.121	LD_615_Assembly_contig_1_88280-924	CDS	Non-specific ribonucleoside hydrolase RihC		511d0fbad7e826409f93fec438312039
fig|1584.211.peg.122	LD_615_Assembly_contig_1_89093-699	CDS	Ribose-5-phosphate isomerase A (EC 5.3.1.6)		e862a0d74c8a3e31c330afb43b70cc90
fig|1584.211.peg.123	LD_615_Assembly_contig_1_90019-924	CDS	Ribokinase (EC 2.7.1.15)		5959abe254667656098e9175e4e7efc1
fig|1584.211.peg.124	LD_615_Assembly_contig_1_90419-342	CDS	FIG00749560: hypothetical protein		4c25b911565c6f3997ce4eac6c6db8a9
fig|1584.211.peg.125	LD_615_Assembly_contig_1_91011-468	CDS	DNA protection during starvation protein		5eedae77e3b6060529e668bacc3bf5ac
fig|1584.211.peg.126	LD_615_Assembly_contig_1_92629-1539	CDS	Arginine/ornithine antiporter ArcD		44c0d6fcb068ae444de9db41d98dee3e
fig|1584.211.peg.127	LD_615_Assembly_contig_1_93446-684	CDS	Phosphate transport system regulatory protein PhoU		d8cc6003287869cbb88517a7cc8ce8e7
fig|1584.211.peg.128	LD_615_Assembly_contig_1_94219-756	CDS	Phosphate ABC transporter, ATP-binding protein PstB (TC 3.A.1.7.1)		1d2b5e32a2f9fa33f85aaf5e697545e3
fig|1584.211.peg.129	LD_615_Assembly_contig_1_95030-801	CDS	Phosphate ABC transporter, ATP-binding protein PstB (TC 3.A.1.7.1)		f741045550bc6b707df55b9bee6eba80
fig|1584.211.peg.130	LD_615_Assembly_contig_1_95931-891	CDS	Phosphate ABC transporter, permease protein PstA (TC 3.A.1.7.1)		0cc8a9c8680ee1c79b23ec9838bb6296
fig|1584.211.peg.131	LD_615_Assembly_contig_1_96923-993	CDS	Phosphate ABC transporter, permease protein PstC (TC 3.A.1.7.1)		b797fd0129e1f876cacb171f1ba446c5
fig|1584.211.peg.132	LD_615_Assembly_contig_1_97809-870	CDS	Phosphate ABC transporter, substrate-binding protein PstS (TC 3.A.1.7.1)		e819d1697cb250a3ffac4ccf2cf33ede
fig|1584.211.peg.133	LD_615_Assembly_contig_1_98448-522	CDS	Histone acetyltransferase HPA2 and related acetyltransferases		b535006151dd56df1919115d607425c6
fig|1584.211.peg.134	LD_615_Assembly_contig_1_99282-735	CDS	ABC transporter, ATP-binding protein (cluster 3, basic aa/glutamine/opines)		adc9ada7aa957ab2368c9b6a773683ff
fig|1584.211.peg.135	LD_615_Assembly_contig_1_100762-1497	CDS	ABC transporter, substrate-binding protein (cluster 3, basic aa/glutamine/opines) / ABC transporter, permease protein (cluster 3, basic aa/glutamine/opines)		a88f12ae5de7044b16d0d9dc7f71e71e
fig|1584.211.peg.136	LD_615_Assembly_contig_1_101713-849	CDS	Predicted esterase of the alpha-beta hydrolase superfamily		7c60c3bea03fdfc57fb7e1d1df3943e7
fig|1584.211.peg.137	LD_615_Assembly_contig_1_104587-2802	CDS	Cation-transporting ATPase, E1-E2 family		c979fcaf337ae34b85dec5af5d184e81
fig|1584.211.peg.138	LD_615_Assembly_contig_1_105052-330	CDS	FIG00749990: hypothetical protein		898d355ab3d04a08f88df9731e793561
fig|1584.211.peg.139	LD_615_Assembly_contig_1_105255-174	CDS	Lactacin F two-component system inducer peptide		6134298c51473594f2d64e41d5864433
fig|1584.211.peg.140	LD_615_Assembly_contig_1_105863-468	CDS	Transporter, major facilitator family		54eae8cc29bd2608cf75416a6b2d775b
fig|1584.211.peg.141	LD_615_Assembly_contig_1_106763-891	CDS	hypothetical protein		f85052d44406d8becde79505be8bd12c
fig|1584.211.peg.142	LD_615_Assembly_contig_1_106925+636	CDS	Uridine kinase (EC 2.7.1.48)		5c7a0090eb7003cfc0cac26e4556ebd1
fig|1584.211.peg.143	LD_615_Assembly_contig_1_108394-795	CDS	hypothetical protein		8bcb88cfe238a7d32a6e9f39a3ca48c9
fig|1584.211.peg.144	LD_615_Assembly_contig_1_110465-1929	CDS	PTS system, trehalose-specific IIA component (EC 2.7.1.201) / PTS system, trehalose-specific IIB component (EC 2.7.1.201) / PTS system, trehalose-specific IIC component		f001fb12d1c1984c5ac6180ea4d4427c
fig|1584.211.peg.145	LD_615_Assembly_contig_1_110659+726	CDS	Trehalose operon transcriptional repressor		a0643f866e1c127c7ed5c6f711c6d506
fig|1584.211.peg.146	LD_615_Assembly_contig_1_111399+1659	CDS	Trehalose-6-phosphate hydrolase (EC 3.2.1.93)		b8d58afd74259c8c873cfdaa8789d8d0
fig|1584.211.peg.147	LD_615_Assembly_contig_1_113164+825	CDS	hypothetical protein		d396f71ace68e49ceae97c7d5c1df1dd
fig|1584.211.peg.148	LD_615_Assembly_contig_1_114685-651	CDS	Glutamine ABC transporter, permease protein GlnP		7a99ae8e36245910729330c60dbf9973
fig|1584.211.peg.149	LD_615_Assembly_contig_1_115337-639	CDS	ABC transporter, permease protein (cluster 3, basic aa/glutamine/opines)		cfb63bd23866ffaf13f29ee7f63f975a
fig|1584.211.peg.150	LD_615_Assembly_contig_1_116158-825	CDS	Glutamine ABC transporter, substrate-binding protein GlnH		e3f3cd636a208eb1fa61945e8772b54f
fig|1584.211.peg.151	LD_615_Assembly_contig_1_116909-750	CDS	ABC transporter, ATP-binding protein (cluster 3, basic aa/glutamine/opines)		348252b9961c6d538fb362ce88e069ca
fig|1584.211.peg.152	LD_615_Assembly_contig_1_118179-822	CDS	Glutamine ABC transporter, substrate-binding protein GlnH		7bd258b8cc6bd04b76b4f72608906e70
fig|1584.211.peg.153	LD_615_Assembly_contig_1_119998-1770	CDS	Heterodimeric efflux ABC transporter, multidrug resistance => LmrD subunit of LmrCD		175832ab3402082488c09ebbce939829
fig|1584.211.peg.154	LD_615_Assembly_contig_1_121724-1734	CDS	Heterodimeric efflux ABC transporter, multidrug resistance => LmrC subunit of LmrCD		eaa05d9db984be84f7bb76d86c277240
fig|1584.211.peg.155	LD_615_Assembly_contig_1_122165-441	CDS	hypothetical protein		8cd409a786904c3b3f72140ba91c52b7
fig|1584.211.peg.156	LD_615_Assembly_contig_1_123105-852	CDS	hypothetical protein		5bea18608a85d29f07bca78ed1f36c46
fig|1584.211.peg.157	LD_615_Assembly_contig_1_124432-1233	CDS	benzoate MFS transporter BenK		e64fda66a45615b45cb34c4b28720851
fig|1584.211.peg.158	LD_615_Assembly_contig_1_126076-1494	CDS	Di-tripeptide/cation symporter DtpT		682547611d1c67f0a6f969e4d6069715
fig|1584.211.peg.159	LD_615_Assembly_contig_1_128190-2007	CDS	alpha-xylosidase (EC 3.2.1.177)		4c4f4263ad456d2482616173ea7dcc8d
fig|1584.211.peg.160	LD_615_Assembly_contig_1_129185-984	CDS	MSM (multiple sugar metabolism) operon regulatory protein		cca45cf94cac4146ed75cebe9c22a571
fig|1584.211.peg.161	LD_615_Assembly_contig_1_130845-1668	CDS	Trehalose-6-phosphate hydrolase (EC 3.2.1.93)		bfebb19015f39380e17eb29cea219fec
fig|1584.211.peg.162	LD_615_Assembly_contig_1_131269-432	CDS	PTS system, mannose-specific IIA component (EC 2.7.1.191)		5cf8f588fe37d795b835324276ef9332
fig|1584.211.peg.163	LD_615_Assembly_contig_1_132115-834	CDS	PTS system, mannose/fructose/sorbose family, IID component		586acf95cebde33de83e4bc046c1188d
fig|1584.211.peg.164	LD_615_Assembly_contig_1_132905-798	CDS	PTS system, mannose/fructose/sorbose family, IIC component		86102964bc009c21b69aa1dff5bd194e
fig|1584.211.peg.165	LD_615_Assembly_contig_1_133402-495	CDS	PTS system, mannose/fructose/sorbose family, IIB component		ee6c7ba5e77693b2af3eb8c4dd25b9e6
fig|1584.211.peg.166	LD_615_Assembly_contig_1_133997-201	CDS	FIG00752562: hypothetical protein		2d6b25b90e10c8e28dbf754e98f4f4f9
fig|1584.211.peg.167	LD_615_Assembly_contig_1_135082-1086	CDS	Endo-1,4-beta-glucanase		8fdfafd3c50006614567320779c6e488
fig|1584.211.peg.168	LD_615_Assembly_contig_1_135390+588	CDS	hypothetical protein		80d6cba1ab25c30b0826db7d9828e3a2
fig|1584.211.peg.169	LD_615_Assembly_contig_1_136065+432	CDS	Transcriptional regulator, MarR family		620f75824d94947e6ce85f8f12a934cc
fig|1584.211.peg.170	LD_615_Assembly_contig_1_136489+210	CDS	hypothetical protein		01f4f8b2c448cd4250beb4670c7eed17
fig|1584.211.peg.171	LD_615_Assembly_contig_1_136700+1212	CDS	Uncharacterized MFS-type transporter		42f842679c8e2bfb974f99ab8c2ed0cd
fig|1584.211.peg.172	LD_615_Assembly_contig_1_138728-621	CDS	putative membrane-associated phospholipid phosphatase, PAP2 superfamily		edff2092af2d96422c7505f1a2319b08
fig|1584.211.peg.173	LD_615_Assembly_contig_1_140281-921	CDS	Glutaminase (EC 3.5.1.2)		fc327545bfb0436698844805430b5003
fig|1584.211.peg.174	LD_615_Assembly_contig_1_141824-1416	CDS	2-oxoglutarate/malate translocator		64b452ad1b2b7a0f2aa1fcaab824b6be
fig|1584.211.peg.175	LD_615_Assembly_contig_1_143643-1794	CDS	redox proteins related to the succinate dehydrogenases and fumarate reductases		7c03baffe7faf91e92c06635a87251b5
fig|1584.211.peg.176	LD_615_Assembly_contig_1_143854+885	CDS	hypothetical protein		a4a075bcd8dbcd684c2271656eab865a
fig|1584.211.peg.177	LD_615_Assembly_contig_1_145864-1089	CDS	hypothetical protein		c54be3db58bb3296c71c98e9bd1c9ac1
fig|1584.211.peg.178	LD_615_Assembly_contig_1_147424-1428	CDS	6-phospho-beta-galactosidase (EC 3.2.1.85)		6cd92e2a6c6aec6ae0a9fa50032410fb
fig|1584.211.peg.179	LD_615_Assembly_contig_1_149137-1698	CDS	PTS system, lactose-specific IIB component (EC 2.7.1.207) / PTS system, lactose-specific IIC component		79bbbca18183843bb6acbe25565a0855
fig|1584.211.peg.180	LD_615_Assembly_contig_1_149544-357	CDS	PTS system, lactose-specific IIA component (EC 2.7.1.207)		4f7a7cd3af703e5ddf2061df3764e172
